Row Labels,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,
Classical,0-4,0-4,0-4,0-4,0-4,0-4,0-4,0-4,0-4,
Country,0-4,4-25,0-4,4-25,0-4,0-4,4-25,0-4,25-49,
Electronic,0-4,0-4,0-4,0-4,0-4,0-4,0-4,0-4,4-25,
Folk,0-4,4-25,0-4,0-4,0-4,0-4,4-25,0-4,25-49,
Indigenous,0-4,0-4,4-25,0-4,0-4,0-4,0-4,0-4,0-4,
Jazz,0-4,0-4,0-4,0-4,0-4,0-4,4-25,0-4,4-25,
K-Pop,0-4,0-4,0-4,0-4,0-4,0-4,0-4,0-4,0-4,
Multiple Genres,0-4,100+,0-4,50-99,25-49,4-25,50-99,25-49,100+,
Rock,0-4,0-4,0-4,0-4,0-4,0-4,0-4,0-4,4-25,
,,,,,,,,,,
,,,,,,,,,,
